Open,High,Low,Close,Adj Close,Volume
330,350.5,320.149994,349.75,289.038605,662666
345,346,338,344,284.286713,30535
345,374,345,367,303.29425,103423
379.700012,389,357,374.350006,310.191986,388482
374.350006,374.350006,374.350006,374.350006,310.191986,0
376,401.200012,374.200012,390.25,323.366974,77359
399.950012,401.200012,376,391.399994,324.319794,58464
400,420,388.100006,414.649994,343.585083,62326
422,422,400,406.899994,337.163391,55661
410,435,394,416.950012,345.490967,118807
423.899994,423.899994,398,402.950012,333.890442,56548
418,418,403,406.950012,337.204895,32296
410,417,395,397.149994,329.084351,40520
400,408.950012,395,406,336.417572,275893
409,409,390,394.649994,327.012787,135025
399.899994,402,385.899994,391.399994,324.319794,60576
390,400,381.25,390.850006,323.864166,630822
395,403,385,399.950012,331.40448,105772
401,405,397,400.200012,331.611633,51738
400,405,397.200012,400.899994,332.191681,28938
395,407.950012,394,404.149994,334.884674,35347
405,408.950012,397.600006,407.799988,337.909088,16675
405.899994,405.899994,401.5,403.799988,334.594666,10989
391,409.899994,391,408.049988,338.116241,52132
403.100006,409,400,406.549988,336.873322,118441
405,412.299988,401,405.549988,336.0448,71813
400,406,381,392.5,325.231262,287228
332.100006,388,320,340.049988,281.770508,65606
391.049988,399,330.100006,390.100006,323.242737,39173
395,401,375.600006,381.399994,316.0336,73243
372.100006,399,371,396.299988,328.380035,35497
392.950012,392.950012,378,390.600006,323.656982,14688
397.899994,397.899994,380,387.75,321.29541,6892
387,390,375,386.25,320.052582,16767
389.899994,396,370,392.75,325.438416,48143
394,395,384.100006,393.200012,325.811401,9727
391.100006,402,385,399.950012,331.40448,29984
391.600006,403,391.600006,401.149994,332.398865,13593
399,400.899994,376.100006,398.149994,329.912964,9258
400,400,395,398.649994,330.32724,16998
395.100006,399,389,394.200012,326.640045,59307
394.049988,398.799988,380,387.25,320.881073,46873
392,392,362,374.899994,310.647675,527126
375,385,324.5,368.950012,305.717377,153127
378,400,371,397.850006,329.664429,117863
472.299988,472.299988,385,398,329.788788,13451
392,401,390,399.649994,331.155945,18190
400,401.5,395,399.700012,331.197418,393992
